"title","description"
"Recognizing a complex exponential signal","read $z(t)=Ae^{j(\omega_0 t+\phi)}$ as a signal with magnitude, angular frequency, and phase."
"Converting a complex exponential to rectangular form","expand the signal into explicit real and imaginary pieces."
"Extracting the real and imaginary waveforms","identify the cosine waveform as the real part and the sine waveform as the imaginary part."
"Interpreting a complex exponential in the complex plane","view the signal as a complex quantity with magnitude and angle that change meaningfully over time."
"Reading phasors at $t=0$","interpret $z(0)=Ae^{j\phi}$ as the initial phasor with starting angle $\phi$."
"Interpreting angular frequency as rotation rate","connect $\omega_0$ to how fast the phasor turns in the complex plane."
"Real-axis projection of a phasor","understand the cosine component as the projection of the rotating phasor onto the real axis."
"Imaginary-axis projection of a phasor","understand the sine component as the projection of the rotating phasor onto the imaginary axis."
"Reading projection values at special angles","determine when the real or imaginary component becomes zero or reaches an extreme from the total angle."
"Connecting phasor motion to time-domain sinusoids","understand why a rotating phasor traces sine and cosine waves over time."
"Using complex exponentials as compact sinusoid representations","treat exponential form as a cleaner representation for analysis and later signal-processing work."
"Reading sinusoid parameters","identify amplitude, angular frequency, and phase in expressions like $A\cos(\omega t+\phi)$ or $A\sin(\omega t+\phi)$."
"Interpreting radians and standard angles","interpret angles like $\pi/2$ and $\pi$ as positions in a rotation."
"Identifying real and imaginary parts","distinguish the real component of a complex number from its imaginary component."
"Interpreting a complex number in the plane","view a complex number as a point or vector on the real and imaginary axes."
"Describing magnitude and angle","describe a complex number by its length and direction."
"Applying Euler's formula to exponentials","rewrite exponential form as cosine plus $j$ sine, and move between the two forms."
"Reading continuous-time signal notation","interpret expressions like $x(t)$, $x(t+T)$, and $x(t+nT)$ in continuous time."
"Recognizing basic sine and cosine signals","identify sine and cosine expressions as repeating oscillatory signals."
"Converting period and angular frequency","convert between period $T$ and angular frequency $\omega$ for a sinusoid."
"Reasoning about integer multiples","interpret quantities like $nT$ and $k\omega_0$ as integer multiples of base quantities."
"Determining whether a ratio is rational","decide whether a ratio is rational and use that result to assess periodic behavior."
"Using the cosine product-to-sum identity","rewrite a product of cosines as a sum of cosine terms."
"Determining whether a continuous-time signal is periodic","check whether a signal repeats after some positive time $T$."
"Finding the fundamental period","identify the smallest repeating interval of a periodic signal."
"Finding the period of a pulse train","read the repeat interval of a repeating pulse waveform."
"Reading the parameters of a sinusoid","extract amplitude, angular frequency, and phase from $A\sin(\omega_0 t+\phi)$."
"Converting between period and angular frequency","use the relationship between $T$ and $\omega_0$ for a sinusoid."
"Interpreting sinusoid phase","understand phase as setting where the sinusoid starts and how it shifts in time."
"Identifying harmonics","recognize first, second, third, and higher harmonics as integer multiples of a fundamental frequency."
"Computing harmonic angular frequencies","use $\omega_k = k\omega_0$ to determine a harmonic's angular frequency."
"Recognizing harmonic components in examples","classify specific sinusoidal terms as the fundamental or as higher harmonics."
"Finding a common period for two periodic signals","determine whether two repeating signals share a common repeat interval."
"Testing whether a sum of periodic signals is periodic","use the rational-ratio condition on periods to decide whether a linear combination repeats."
"Distinguishing linear and nonlinear signal operations","classify addition as a linear operation and multiplication as a nonlinear one."
"Expanding the product of two sinusoids","use the product-to-sum identity to expose sum- and difference-frequency components."
"Analyzing the equal-frequency product case","identify what happens when two sinusoids of the same frequency are multiplied."
"Identifying a DC component","recognize a constant term as a zero-frequency component of a signal."
"Recognizing harmonic generation from nonlinear operations","understand that multiplication can create new frequency components not present in the original inputs."
"Using Euler's formula","convert between $e^{j\theta}$ and $\cos(\theta)+j\sin(\theta)$ as equivalent representations."
"Identifying real and imaginary parts of a complex exponential","read the cosine term as the real part and the sine term as the imaginary part of $Ae^{j(\omega t+\phi)}$."
"Interpreting polar form of a complex number","read $Ae^{j\phi}$ as a magnitude-angle representation of a complex quantity."
"Converting complex numbers between rectangular and polar form","rewrite $a+jb$ as $|V|e^{j\angle V}$ by computing magnitude and angle."
"Adding complex numbers in rectangular form","combine phasors by summing their real parts and imaginary parts separately."
"Using special-angle values in the complex plane","recognize values like $e^{j\pi/2}=j$ and standard reference angles in phasor work."
"Writing a cosine as a complex exponential","express $A\cos(\omega t+\phi)$ as the real part of $Ae^{j(\omega t+\phi)}$."
"Factoring a sinusoid into phasor form","separate $Ae^{j(\omega t+\phi)}$ into a fixed phasor $Ae^{j\phi}$ and a rotating factor $e^{j\omega t}$."
"Defining and interpreting a phasor","treat $V=Ae^{j\phi}$ as a stationary complex quantity that carries amplitude and phase."
"Linking frequency sign to rotation direction","determine whether a complex exponential rotates clockwise or counterclockwise from the sign of $\omega$."
"Rewriting sine and cosine with exponentials","use Euler identities to convert sine and cosine into sums or differences of exponentials."
"Interpreting cosine as frequency components","recognize a real cosine as two counter-rotating exponentials with frequencies $+\omega$ and $-\omega$."
"Interpreting frequency sign geometrically","understand positive and negative frequency as opposite directions of rotation in the complex plane."
"Adding same-frequency cosines with phasors","convert each cosine to a phasor, add the phasors, and retain the common $e^{j\omega t}$ factor."
"Forming the resultant phasor","combine same-frequency terms into one equivalent phasor with net amplitude and phase."
"Converting a resultant phasor to a cosine","rewrite the summed phasor in polar form as a single cosine in amplitude-phase form."
"Solving a full phasor addition problem","carry out phasor conversion, complex-domain addition, and conversion back to one real sinusoid."
"Reading complex-number form","interpret a complex quantity as the sum of its real and imaginary parts."
"Applying exponent laws to exponentials","split and regroup expressions such as $e^{a+b}$ and $e^{at+bt}$."
"Using Euler's formula","convert between $e^{j\theta}$ and $\cos \theta + j\sin \theta$."
"Extracting real and imaginary parts","identify $\Re\{\cdot\}$ and $\Im\{\cdot\}$ from a complex expression."
"Interpreting basic sinusoids","understand cosine and sine as oscillations and $\omega$ as angular frequency."
"Interpreting real exponential growth and decay","tell from the sign of the exponent whether a signal grows, decays, or stays constant."
"Defining signal periodicity","use $x(t+T)=x(t)$ as the condition for a repeating signal."
"Defining a generalized exponential signal","interpret $x(t)=e^{st}$ with $s=\sigma+j\omega$ as the general exponential form."
"Interpreting the roles of $\sigma$ and $\omega$","identify $\sigma$ as the growth or decay term and $\omega$ as the oscillation term."
"Expanding a generalized exponential","rewrite $e^{(\sigma+j\omega)t}$ as $e^{\sigma t}e^{j\omega t}$ to separate growth from oscillation."
"Converting a generalized exponential to cosine-sine form","use Euler's formula to rewrite the signal in cosine and sine components."
"Extracting the real and imaginary components","identify the cosine term as the real part and the sine term as the imaginary part."
"Analyzing the pure exponential case","determine whether the signal is constant, growing, or decaying when $\omega=0$."
"Analyzing the pure oscillatory case","interpret $e^{j\omega t}$ as a pure complex sinusoid when $\sigma=0$."
"Relating $\omega$ to oscillation speed","determine how changing $|\omega|$ changes the rate of oscillation."
"Analyzing the mixed exponential case","interpret $\sigma \neq 0,\ \omega \neq 0$ as simultaneous oscillation with exponential growth or decay."
"Identifying damped and growing sinusoids","use the sign of $\sigma$ to determine whether the oscillation decays or increases in amplitude."
"Interpreting exponential envelopes","understand $\pm e^{\sigma t}$ as amplitude bounds that contain the oscillation."
"Connecting generalized exponentials to physical systems","recognize generalized exponentials as models for damped oscillatory behavior in physical systems."
"Applying the periodicity test to $e^{j\omega t}$","derive the condition under which a pure complex exponential repeats over time."
"Computing the fundamental period of a complex exponential","find $T_0=\frac{2\pi}{\omega}$ for the signal's smallest positive repeat time."
"Interpreting general repetition times","recognize that any integer multiple of $T_0$ is also a valid repeat time."
"Using the rotating-phasor picture","explain periodicity geometrically by tracking the phasor's motion around the unit circle."
"Reading continuous-time signal notation","interpret $x(t)$ as a time-dependent signal whose value changes with the input $t$."
"Interpreting piecewise-defined signals","read a signal whose defining expression changes across different time intervals."
"Identifying a signal's support","determine the interval where a signal is nonzero or where a particular branch applies."
"Substituting expressions into a signal argument","replace $t$ with expressions like $t-1$, $3t$, or $-t$ inside a signal formula."
"Simplifying transformed expressions","rewrite substituted formulas cleanly, especially when exponential terms are involved."
"Solving interval inequalities after substitution","transform time intervals correctly after substitution, including reversing inequalities when multiplying by $-1$."
"Tracking key time points under transformation","identify start points, endpoints, and feature locations, then determine how they move on the time axis."
"Recognizing basic time-domain signal operations","distinguish among shifting, scaling, and reversal as three different signal transformations."
