title,description
Reading continuous-time signal notation,"interpret expressions like $x(t)$, $x(t+T)$, and $x(t+nT)$ in continuous time."
Recognizing basic sine and cosine signals,identify sine and cosine expressions as repeating oscillatory signals.
Converting period and angular frequency,convert between period $T$ and angular frequency $\omega$ for a sinusoid.
Reasoning about integer multiples,interpret quantities like $nT$ and $k\omega_0$ as integer multiples of base quantities.
Determining whether a ratio is rational,decide whether a ratio is rational and use that result to assess periodic behavior.
Using the cosine product-to-sum identity,rewrite a product of cosines as a sum of cosine terms.
Determining whether a continuous-time signal is periodic,check whether a signal repeats after some positive time $T$.
Finding the fundamental period,identify the smallest repeating interval of a periodic signal.
Finding the period of a pulse train,read the repeat interval of a repeating pulse waveform.
Reading the parameters of a sinusoid,"extract amplitude, angular frequency, and phase from $A\sin(\omega_0 t+\phi)$."
Converting between period and angular frequency,use the relationship between $T$ and $\omega_0$ for a sinusoid.
Interpreting sinusoid phase,understand phase as setting where the sinusoid starts and how it shifts in time.
Identifying harmonics,"recognize first, second, third, and higher harmonics as integer multiples of a fundamental frequency."
Computing harmonic angular frequencies,use $\omega_k = k\omega_0$ to determine a harmonic's angular frequency.
Recognizing harmonic components in examples,classify specific sinusoidal terms as the fundamental or as higher harmonics.
Finding a common period for two periodic signals,determine whether two repeating signals share a common repeat interval.
Testing whether a sum of periodic signals is periodic,use the rational-ratio condition on periods to decide whether a linear combination repeats.
Distinguishing linear and nonlinear signal operations,classify addition as a linear operation and multiplication as a nonlinear one.
Expanding the product of two sinusoids,use the product-to-sum identity to expose sum- and difference-frequency components.
Analyzing the equal-frequency product case,identify what happens when two sinusoids of the same frequency are multiplied.
Identifying a DC component,recognize a constant term as a zero-frequency component of a signal.
Recognizing harmonic generation from nonlinear operations,understand that multiplication can create new frequency components not present in the original inputs.
