title,description
Reading continuous-time signal notation,interpret $x(t)$ as a signal whose amplitude varies over time.
Reading piecewise-defined signals,determine which expression describes the signal on each time interval.
Recognizing periodicity and fundamental period,identify when a signal repeats and determine its smallest repeating interval.
Forming the magnitude-squared signal,compute $|x(t)|^2$ as the quantity used in energy and power calculations.
Evaluating a definite integral,compute accumulated quantity over a finite interval.
Evaluating improper integrals,evaluate or interpret integrals taken over infinite intervals.
Understanding limit-based averaging,understand an average as a limit taken as the time window extends to infinity.
Integrating common signal expressions,"handle constants, polynomials, and decaying exponentials when evaluating integrals."
Interpreting signal size as a scalar,understand signal size as a scalar that reflects both amplitude and duration.
Relating instantaneous power to amplitude,understand why pointwise power depends on the square of a signal's amplitude.
Connecting power and energy,interpret power as the rate of energy change and energy as accumulated power over time.
Computing total signal energy,"compute total signal energy with $\int_{-\infty}^{\infty}|x(t)|^2\,dt$."
Recognizing signals with infinite energy,identify when a signal does not decay enough for total energy to converge.
Computing average signal power,compute long-run average power for signals whose total energy is infinite.
Computing periodic-signal power over one period,replace the long-time average with a one-period average when the signal is periodic.
Choosing between energy and power measures,decide whether total energy or average power is the meaningful descriptor for a given signal.
Classifying energy signals,identify signals whose total energy is finite and nonzero.
Classifying power signals,identify signals whose average power is finite and nonzero.
Splitting piecewise energy integrals,break an energy integral into interval-by-interval pieces and sum the contributions.
Computing energy of a finite-energy signal,apply the energy formula to a signal with finite support or exponential decay.
Computing power of a periodic signal,apply the one-period power formula to a repeating waveform such as a ramp or sawtooth.
Distinguishing decay from repetition,"recognize that decaying signals tend to be energy signals, while repeating signals tend to be power signals."
