title,description
Using Euler's formula,convert between $e^{j\theta}$ and $\cos(\theta)+j\sin(\theta)$ as equivalent representations.
Identifying real and imaginary parts of a complex exponential,read the cosine term as the real part and the sine term as the imaginary part of $Ae^{j(\omega t+\phi)}$.
Interpreting polar form of a complex number,read $Ae^{j\phi}$ as a magnitude-angle representation of a complex quantity.
Converting complex numbers between rectangular and polar form,rewrite $a+jb$ as $|V|e^{j\angle V}$ by computing magnitude and angle.
Adding complex numbers in rectangular form,combine phasors by summing their real parts and imaginary parts separately.
Using special-angle values in the complex plane,recognize values like $e^{j\pi/2}=j$ and standard reference angles in phasor work.
Writing a cosine as a complex exponential,express $A\cos(\omega t+\phi)$ as the real part of $Ae^{j(\omega t+\phi)}$.
Factoring a sinusoid into phasor form,separate $Ae^{j(\omega t+\phi)}$ into a fixed phasor $Ae^{j\phi}$ and a rotating factor $e^{j\omega t}$.
Defining and interpreting a phasor,treat $V=Ae^{j\phi}$ as a stationary complex quantity that carries amplitude and phase.
Linking frequency sign to rotation direction,determine whether a complex exponential rotates clockwise or counterclockwise from the sign of $\omega$.
Rewriting sine and cosine with exponentials,use Euler identities to convert sine and cosine into sums or differences of exponentials.
Interpreting cosine as frequency components,recognize a real cosine as two counter-rotating exponentials with frequencies $+\omega$ and $-\omega$.
Interpreting frequency sign geometrically,understand positive and negative frequency as opposite directions of rotation in the complex plane.
Adding same-frequency cosines with phasors,"convert each cosine to a phasor, add the phasors, and retain the common $e^{j\omega t}$ factor."
Forming the resultant phasor,combine same-frequency terms into one equivalent phasor with net amplitude and phase.
Converting a resultant phasor to a cosine,rewrite the summed phasor in polar form as a single cosine in amplitude-phase form.
Solving a full phasor addition problem,"carry out phasor conversion, complex-domain addition, and conversion back to one real sinusoid."
