"lecture","title","description"
"1.2","Recognizing a complex exponential signal","read $z(t)=Ae^{j(\omega_0 t+\phi)}$ as a signal with magnitude, angular frequency, and phase."
"1.2","Converting a complex exponential to rectangular form","expand the signal into explicit real and imaginary pieces."
"1.2","Extracting the real and imaginary waveforms","identify the cosine waveform as the real part and the sine waveform as the imaginary part."
"1.2","Interpreting a complex exponential in the complex plane","view the signal as a complex quantity with magnitude and angle that change meaningfully over time."
"1.2","Reading phasors at $t=0$","interpret $z(0)=Ae^{j\phi}$ as the initial phasor with starting angle $\phi$."
"1.2","Interpreting angular frequency as rotation rate","connect $\omega_0$ to how fast the phasor turns in the complex plane."
"1.2","Real-axis projection of a phasor","understand the cosine component as the projection of the rotating phasor onto the real axis."
"1.2","Imaginary-axis projection of a phasor","understand the sine component as the projection of the rotating phasor onto the imaginary axis."
"1.2","Reading projection values at special angles","determine when the real or imaginary component becomes zero or reaches an extreme from the total angle."
"1.2","Connecting phasor motion to time-domain sinusoids","understand why a rotating phasor traces sine and cosine waves over time."
"1.2","Using complex exponentials as compact sinusoid representations","treat exponential form as a cleaner representation for analysis and later signal-processing work."
"1.2","Reading sinusoid parameters","identify amplitude, angular frequency, and phase in expressions like $A\cos(\omega t+\phi)$ or $A\sin(\omega t+\phi)$."
"1.2","Interpreting radians and standard angles","interpret angles like $\pi/2$ and $\pi$ as positions in a rotation."
"1.2","Identifying real and imaginary parts","distinguish the real component of a complex number from its imaginary component."
"1.2","Interpreting a complex number in the plane","view a complex number as a point or vector on the real and imaginary axes."
"1.2","Describing magnitude and angle","describe a complex number by its length and direction."
"1.2","Applying Euler's formula to exponentials","rewrite exponential form as cosine plus $j$ sine, and move between the two forms."
"1.1","Reading continuous-time signal notation","interpret expressions like $x(t)$, $x(t+T)$, and $x(t+nT)$ in continuous time."
"1.1","Recognizing basic sine and cosine signals","identify sine and cosine expressions as repeating oscillatory signals."
"1.1","Converting period and angular frequency","convert between period $T$ and angular frequency $\omega$ for a sinusoid."
"1.1","Reasoning about integer multiples","interpret quantities like $nT$ and $k\omega_0$ as integer multiples of base quantities."
"1.1","Determining whether a ratio is rational","decide whether a ratio is rational and use that result to assess periodic behavior."
"1.1","Using the cosine product-to-sum identity","rewrite a product of cosines as a sum of cosine terms."
"1.1","Determining whether a continuous-time signal is periodic","check whether a signal repeats after some positive time $T$."
"1.1","Finding the fundamental period","identify the smallest repeating interval of a periodic signal."
"1.1","Finding the period of a pulse train","read the repeat interval of a repeating pulse waveform."
"1.1","Reading the parameters of a sinusoid","extract amplitude, angular frequency, and phase from $A\sin(\omega_0 t+\phi)$."
"1.1","Converting between period and angular frequency","use the relationship between $T$ and $\omega_0$ for a sinusoid."
"1.1","Interpreting sinusoid phase","understand phase as setting where the sinusoid starts and how it shifts in time."
"1.1","Identifying harmonics","recognize first, second, third, and higher harmonics as integer multiples of a fundamental frequency."
"1.1","Computing harmonic angular frequencies","use $\omega_k = k\omega_0$ to determine a harmonic's angular frequency."
"1.1","Recognizing harmonic components in examples","classify specific sinusoidal terms as the fundamental or as higher harmonics."
"1.1","Finding a common period for two periodic signals","determine whether two repeating signals share a common repeat interval."
"1.1","Testing whether a sum of periodic signals is periodic","use the rational-ratio condition on periods to decide whether a linear combination repeats."
"1.1","Distinguishing linear and nonlinear signal operations","classify addition as a linear operation and multiplication as a nonlinear one."
"1.1","Expanding the product of two sinusoids","use the product-to-sum identity to expose sum- and difference-frequency components."
"1.1","Analyzing the equal-frequency product case","identify what happens when two sinusoids of the same frequency are multiplied."
"1.1","Identifying a DC component","recognize a constant term as a zero-frequency component of a signal."
"1.1","Recognizing harmonic generation from nonlinear operations","understand that multiplication can create new frequency components not present in the original inputs."
"1.3","Using Euler's formula","convert between $e^{j\theta}$ and $\cos(\theta)+j\sin(\theta)$ as equivalent representations."
"1.3","Identifying real and imaginary parts of a complex exponential","read the cosine term as the real part and the sine term as the imaginary part of $Ae^{j(\omega t+\phi)}$."
"1.3","Interpreting polar form of a complex number","read $Ae^{j\phi}$ as a magnitude-angle representation of a complex quantity."
"1.3","Converting complex numbers between rectangular and polar form","rewrite $a+jb$ as $|V|e^{j\angle V}$ by computing magnitude and angle."
"1.3","Adding complex numbers in rectangular form","combine phasors by summing their real parts and imaginary parts separately."
"1.3","Using special-angle values in the complex plane","recognize values like $e^{j\pi/2}=j$ and standard reference angles in phasor work."
"1.3","Writing a cosine as a complex exponential","express $A\cos(\omega t+\phi)$ as the real part of $Ae^{j(\omega t+\phi)}$."
"1.3","Factoring a sinusoid into phasor form","separate $Ae^{j(\omega t+\phi)}$ into a fixed phasor $Ae^{j\phi}$ and a rotating factor $e^{j\omega t}$."
"1.3","Defining and interpreting a phasor","treat $V=Ae^{j\phi}$ as a stationary complex quantity that carries amplitude and phase."
"1.3","Linking frequency sign to rotation direction","determine whether a complex exponential rotates clockwise or counterclockwise from the sign of $\omega$."
"1.3","Rewriting sine and cosine with exponentials","use Euler identities to convert sine and cosine into sums or differences of exponentials."
"1.3","Interpreting cosine as frequency components","recognize a real cosine as two counter-rotating exponentials with frequencies $+\omega$ and $-\omega$."
"1.3","Interpreting frequency sign geometrically","understand positive and negative frequency as opposite directions of rotation in the complex plane."
"1.3","Adding same-frequency cosines with phasors","convert each cosine to a phasor, add the phasors, and retain the common $e^{j\omega t}$ factor."
"1.3","Forming the resultant phasor","combine same-frequency terms into one equivalent phasor with net amplitude and phase."
"1.3","Converting a resultant phasor to a cosine","rewrite the summed phasor in polar form as a single cosine in amplitude-phase form."
"1.3","Solving a full phasor addition problem","carry out phasor conversion, complex-domain addition, and conversion back to one real sinusoid."
"1.4","Reading complex-number form","interpret a complex quantity as the sum of its real and imaginary parts."
"1.4","Applying exponent laws to exponentials","split and regroup expressions such as $e^{a+b}$ and $e^{at+bt}$."
"1.4","Using Euler's formula","convert between $e^{j\theta}$ and $\cos \theta + j\sin \theta$."
"1.4","Extracting real and imaginary parts","identify $\Re\{\cdot\}$ and $\Im\{\cdot\}$ from a complex expression."
"1.4","Interpreting basic sinusoids","understand cosine and sine as oscillations and $\omega$ as angular frequency."
"1.4","Interpreting real exponential growth and decay","tell from the sign of the exponent whether a signal grows, decays, or stays constant."
"1.4","Defining signal periodicity","use $x(t+T)=x(t)$ as the condition for a repeating signal."
"1.4","Defining a generalized exponential signal","interpret $x(t)=e^{st}$ with $s=\sigma+j\omega$ as the general exponential form."
"1.4","Interpreting the roles of $\sigma$ and $\omega$","identify $\sigma$ as the growth or decay term and $\omega$ as the oscillation term."
"1.4","Expanding a generalized exponential","rewrite $e^{(\sigma+j\omega)t}$ as $e^{\sigma t}e^{j\omega t}$ to separate growth from oscillation."
"1.4","Converting a generalized exponential to cosine-sine form","use Euler's formula to rewrite the signal in cosine and sine components."
"1.4","Extracting the real and imaginary components","identify the cosine term as the real part and the sine term as the imaginary part."
"1.4","Analyzing the pure exponential case","determine whether the signal is constant, growing, or decaying when $\omega=0$."
"1.4","Analyzing the pure oscillatory case","interpret $e^{j\omega t}$ as a pure complex sinusoid when $\sigma=0$."
"1.4","Relating $\omega$ to oscillation speed","determine how changing $|\omega|$ changes the rate of oscillation."
"1.4","Analyzing the mixed exponential case","interpret $\sigma \neq 0,\ \omega \neq 0$ as simultaneous oscillation with exponential growth or decay."
"1.4","Identifying damped and growing sinusoids","use the sign of $\sigma$ to determine whether the oscillation decays or increases in amplitude."
"1.4","Interpreting exponential envelopes","understand $\pm e^{\sigma t}$ as amplitude bounds that contain the oscillation."
"1.4","Connecting generalized exponentials to physical systems","recognize generalized exponentials as models for damped oscillatory behavior in physical systems."
"1.4","Applying the periodicity test to $e^{j\omega t}$","derive the condition under which a pure complex exponential repeats over time."
"1.4","Computing the fundamental period of a complex exponential","find $T_0=\frac{2\pi}{\omega}$ for the signal's smallest positive repeat time."
"1.4","Interpreting general repetition times","recognize that any integer multiple of $T_0$ is also a valid repeat time."
"1.4","Using the rotating-phasor picture","explain periodicity geometrically by tracking the phasor's motion around the unit circle."
"1.5","Reading continuous-time signal notation","interpret $x(t)$ as a time-dependent signal whose value changes with the input $t$."
"1.5","Interpreting piecewise-defined signals","read a signal whose defining expression changes across different time intervals."
"1.5","Identifying a signal's support","determine the interval where a signal is nonzero or where a particular branch applies."
"1.5","Substituting expressions into a signal argument","replace $t$ with expressions like $t-1$, $3t$, or $-t$ inside a signal formula."
"1.5","Simplifying transformed expressions","rewrite substituted formulas cleanly, especially when exponential terms are involved."
"1.5","Solving interval inequalities after substitution","transform time intervals correctly after substitution, including reversing inequalities when multiplying by $-1$."
"1.5","Tracking key time points under transformation","identify start points, endpoints, and feature locations, then determine how they move on the time axis."
"1.5","Recognizing basic time-domain signal operations","distinguish among shifting, scaling, and reversal as three different signal transformations."
"1.5","Interpreting time shifting","understand that shifting moves a signal left or right without changing its basic shape."
"1.5","Delaying a signal","apply $x(t-T)$ and interpret it as shifting the signal right by $T$."
"1.5","Advancing a signal","apply $x(t+T)$ and interpret it as shifting the signal left by $T$."
"1.5","Reading shift direction from the sign","determine whether a form like $x(t-a)$ represents a delay or an advance."
"1.5","Rewriting a shifted piecewise signal","substitute the shifted argument into each branch and adjust the corresponding time intervals."
"1.5","Interpreting time shifting physically","connect a time shift to earlier or later arrival of the same waveform."
"1.5","Interpreting time scaling","understand that scaling changes how quickly a signal unfolds in time rather than when it begins."
"1.5","Compressing a signal in time","apply $x(at)$ with $a>1$ and interpret it as making the signal run faster."
"1.5","Expanding a signal in time","apply $x(t/a)$ with $a>1$ and interpret it as making the signal run slower."
"1.5","Tracking feature times under scaling","map important times such as $T_1$ and $T_2$ to their new locations after compression or expansion."
"1.5","Rewriting a scaled piecewise signal","solve for the new time intervals after replacing $t$ with $at$ or $t/a$."
"1.5","Distinguishing shifting from scaling","tell whether an operation moves a signal in time or changes its time rate."
"1.5","Interpreting time scaling physically","connect time scaling to playback speed, such as making a recording play faster or slower."
"1.5","Interpreting time reversal","understand that $x(-t)$ mirrors a signal across the vertical axis at $t=0$."
"1.5","Mapping signal support under reversal","determine how the interval where a signal exists flips across the time axis under reversal."
"1.5","Rewriting a time-reversed piecewise signal","replace $t$ with $-t$, simplify the expression, and transform the interval consistently."
"1.5","Conceptualizing reversed temporal behavior","describe how time reversal flips the order in which signal events occur."
"1.5","Interpreting time reversal physically","connect time reversal to playing a signal backward in time."
"1.5","Comparing the effects of three operations","identify whether each operation changes a signal's start time, time scale, or time direction."
"1.5","Analyzing transformed exponential signals","apply shifting, scaling, and reversal to exponential signals while preserving the correct piecewise branches."
"1.6","Reading continuous-time signal notation","interpret $x(t)$ as a signal whose amplitude varies over time."
"1.6","Reading piecewise-defined signals","determine which expression describes the signal on each time interval."
"1.6","Recognizing periodicity and fundamental period","identify when a signal repeats and determine its smallest repeating interval."
